1.0,1.0,2.0,1087.0,0.0
2.0,3.0,4.0,1083.0,0.0
3.0,5.0,6.0,577.0,0.0
4.0,7.0,8.0,1531.0,0.0
5.0,9.0,10.0,1108.0,0.0
6.0,11.0,12.0,706.0,0.0
7.0,13.0,14.0,533.0,0.0
8.0,15.0,16.0,444.0,0.0
9.0,17.0,18.0,439.0,0.0
10.0,19.0,20.0,429.0,0.0
11.0,21.0,22.0,524.0,0.0
12.0,23.0,24.0,1977.0,0.0
13.0,25.0,26.0,1566.0,0.0
14.0,27.0,28.0,261.0,0.0
15.0,29.0,30.0,702.0,0.0
16.0,31.0,32.0,620.0,93.0
17.0,33.0,34.0,978.0,146.7
18.0,35.0,36.0,1025.0,153.75
19.0,37.0,38.0,561.0,84.15
20.0,39.0,40.0,762.0,114.3
21.0,41.0,42.0,905.0,135.75
22.0,43.0,44.0,1239.0,185.85
23.0,45.0,46.0,518.0,77.7
24.0,47.0,48.0,1050.0,157.5
25.0,49.0,50.0,547.0,82.05
26.0,51.0,52.0,1822.0,273.3
27.0,53.0,54.0,196.0,29.4
28.0,55.0,56.0,1220.0,183.0
29.0,57.0,58.0,957.0,143.55
30.0,59.0,60.0,452.0,67.8
31.0,61.0,62.0,505.0,75.75
32.0,63.0,64.0,672.0,100.8
33.0,65.0,66.0,856.0,128.4
34.0,67.0,68.0,513.0,76.95
35.0,69.0,70.0,1162.0,174.3
36.0,71.0,72.0,1187.0,178.05
37.0,73.0,74.0,784.0,117.6
38.0,75.0,76.0,1138.0,170.7
39.0,77.0,78.0,874.0,131.1
40.0,79.0,80.0,487.0,73.05
