1.0,1.0,2.0,1324.0,0.0
2.0,3.0,4.0,1212.0,0.0
3.0,5.0,6.0,795.0,0.0
4.0,7.0,8.0,1597.0,0.0
5.0,9.0,10.0,676.0,0.0
6.0,11.0,12.0,1145.0,0.0
7.0,13.0,14.0,282.0,0.0
8.0,15.0,16.0,617.0,0.0
9.0,17.0,18.0,626.0,0.0
10.0,19.0,20.0,528.0,0.0
11.0,21.0,22.0,794.0,0.0
12.0,23.0,24.0,2273.0,0.0
13.0,25.0,26.0,1880.0,0.0
14.0,27.0,28.0,420.0,0.0
15.0,29.0,30.0,672.0,0.0
16.0,31.0,32.0,610.0,0.0
17.0,33.0,34.0,1434.0,0.0
18.0,35.0,36.0,740.0,0.0
19.0,37.0,38.0,492.0,0.0
20.0,39.0,40.0,939.0,0.0
21.0,41.0,42.0,1021.0,153.15
22.0,43.0,44.0,1238.0,185.7
23.0,45.0,46.0,790.0,118.5
24.0,47.0,48.0,990.0,148.5
25.0,49.0,50.0,790.0,118.5
26.0,51.0,52.0,2013.0,301.95
27.0,53.0,54.0,288.0,43.2
28.0,55.0,56.0,828.0,124.2
29.0,57.0,58.0,706.0,105.9
30.0,59.0,60.0,540.0,81.0
31.0,61.0,62.0,546.0,81.9
32.0,63.0,64.0,628.0,94.2
33.0,65.0,66.0,847.0,127.05
34.0,67.0,68.0,642.0,96.3
35.0,69.0,70.0,790.0,118.5
36.0,71.0,72.0,1657.0,248.55
37.0,73.0,74.0,931.0,139.65
38.0,75.0,76.0,1305.0,195.75
39.0,77.0,78.0,1269.0,190.35
40.0,79.0,80.0,592.0,88.8
