0,0,63,218,265,109,218,265,218,212,109,109,85,65,212,109,212,65,85,109,218,265,212,85,212,212,65,85,109,65,218,265,85,218,65,63,218,63,212,265,65,0,218,265,63,0,109,85,265,63,109,63,265,109,265,109,0,265,0,218,63,0,218,0,212,218,0,212,0,212,63,0
0,0,63,218,265,109,218,265,218,212,109,109,85,65,212,109,212,65,85,109,218,265,212,85,212,212,65,85,109,65,218,265,85,218,65,63,218,63,212,265,65,0,218,265,63,0,109,85,265,63,109,63,265,109,265,109,0,265,0,218,63,0,218,0,212,218,0,212,0,212,63,0
62,62,0,259,320,164,259,320,259,247,164,164,114,121,247,164,247,121,114,164,259,320,247,114,247,247,121,114,164,121,259,320,114,259,121,0,259,0,247,320,121,62,259,320,0,62,164,114,320,0,164,0,320,164,320,164,62,320,62,259,0,62,259,62,247,259,62,247,62,247,0,62
216,216,252,0,460,304,0,460,0,19,304,304,153,223,19,304,19,223,153,304,0,460,19,153,19,19,223,153,304,223,0,460,153,0,223,252,0,252,19,460,223,216,0,460,252,216,304,153,460,252,304,252,460,304,460,304,216,460,216,0,252,216,0,216,19,0,216,19,216,19,252,216
267,267,321,464,0,165,464,0,464,465,165,165,339,248,465,165,465,248,339,165,464,0,465,339,465,465,248,339,165,248,464,0,339,464,248,321,464,321,465,0,248,267,464,0,321,267,165,339,0,321,165,321,0,165,0,165,267,0,267,464,321,267,464,267,465,464,267,465,267,465,321,267
111,111,165,307,165,0,307,165,307,310,0,0,183,92,310,0,310,92,183,0,307,165,310,183,310,310,92,183,0,92,307,165,183,307,92,165,307,165,310,165,92,111,307,165,165,111,0,183,165,165,0,165,165,0,165,0,111,165,111,307,165,111,307,111,310,307,111,310,111,310,165,111
216,216,252,0,460,304,0,460,0,19,304,304,153,223,19,304,19,223,153,304,0,460,19,153,19,19,223,153,304,223,0,460,153,0,223,252,0,252,19,460,223,216,0,460,252,216,304,153,460,252,304,252,460,304,460,304,216,460,216,0,252,216,0,216,19,0,216,19,216,19,252,216
267,267,321,464,0,165,464,0,464,465,165,165,339,248,465,165,465,248,339,165,464,0,465,339,465,465,248,339,165,248,464,0,339,464,248,321,464,321,465,0,248,267,464,0,321,267,165,339,0,321,165,321,0,165,0,165,267,0,267,464,321,267,464,267,465,464,267,465,267,465,321,267
216,216,252,0,460,304,0,460,0,19,304,304,153,223,19,304,19,223,153,304,0,460,19,153,19,19,223,153,304,223,0,460,153,0,223,252,0,252,19,460,223,216,0,460,252,216,304,153,460,252,304,252,460,304,460,304,216,460,216,0,252,216,0,216,19,0,216,19,216,19,252,216
213,213,243,19,465,309,19,465,19,0,309,309,144,231,0,309,0,231,144,309,19,465,0,144,0,0,231,144,309,231,19,465,144,19,231,243,19,243,0,465,231,213,19,465,243,213,309,144,465,243,309,243,465,309,465,309,213,465,213,19,243,213,19,213,0,19,213,0,213,0,243,213
111,111,165,307,165,0,307,165,307,310,0,0,183,92,310,0,310,92,183,0,307,165,310,183,310,310,92,183,0,92,307,165,183,307,92,165,307,165,310,165,92,111,307,165,165,111,0,183,165,165,0,165,165,0,165,0,111,165,111,307,165,111,307,111,310,307,111,310,111,310,165,111
111,111,165,307,165,0,307,165,307,310,0,0,183,92,310,0,310,92,183,0,307,165,310,183,310,310,92,183,0,92,307,165,183,307,92,165,307,165,310,165,92,111,307,165,165,111,0,183,165,165,0,165,165,0,165,0,111,165,111,307,165,111,307,111,310,307,111,310,111,310,165,111
81,81,111,153,334,177,153,334,153,142,177,177,0,106,142,177,142,106,0,177,153,334,142,0,142,142,106,0,177,106,153,334,0,153,106,111,153,111,142,334,106,81,153,334,111,81,177,0,334,111,177,111,334,177,334,177,81,334,81,153,111,81,153,81,142,153,81,142,81,142,111,81
63,63,118,224,244,88,224,244,224,229,88,88,111,0,229,88,229,0,111,88,224,244,229,111,229,229,0,111,88,0,224,244,111,224,0,118,224,118,229,244,0,63,224,244,118,63,88,111,244,118,88,118,244,88,244,88,63,244,63,224,118,63,224,63,229,224,63,229,63,229,118,63
213,213,243,19,465,309,19,465,19,0,309,309,144,231,0,309,0,231,144,309,19,465,0,144,0,0,231,144,309,231,19,465,144,19,231,243,19,243,0,465,231,213,19,465,243,213,309,144,465,243,309,243,465,309,465,309,213,465,213,19,243,213,19,213,0,19,213,0,213,0,243,213
