1.0,1.0,2.0,136.0,0.0
2.0,3.0,4.0,669.0,0.0
3.0,5.0,6.0,402.0,0.0
4.0,7.0,8.0,609.0,0.0
5.0,9.0,10.0,196.0,0.0
6.0,11.0,12.0,604.0,0.0
7.0,13.0,14.0,1086.0,0.0
8.0,15.0,16.0,27.0,0.0
9.0,17.0,18.0,735.0,0.0
10.0,19.0,20.0,1215.0,0.0
11.0,21.0,22.0,347.0,0.0
12.0,23.0,24.0,1415.0,0.0
13.0,25.0,26.0,472.0,0.0
14.0,27.0,28.0,32.0,0.0
15.0,29.0,30.0,603.0,0.0
16.0,31.0,32.0,543.0,0.0
17.0,33.0,34.0,402.0,0.0
18.0,35.0,36.0,620.0,0.0
19.0,37.0,38.0,404.0,0.0
20.0,39.0,40.0,886.0,0.0
21.0,41.0,42.0,484.0,72.6
22.0,43.0,44.0,1937.0,290.55
23.0,45.0,46.0,2218.0,332.7
24.0,47.0,48.0,928.0,139.2
25.0,49.0,50.0,536.0,80.4
26.0,51.0,52.0,753.0,112.95
27.0,53.0,54.0,986.0,147.9
28.0,55.0,56.0,1267.0,190.05
29.0,57.0,58.0,1522.0,228.3
30.0,59.0,60.0,181.0,27.15
31.0,61.0,62.0,1442.0,216.3
32.0,63.0,64.0,877.0,131.55
33.0,65.0,66.0,1131.0,169.65
34.0,67.0,68.0,322.0,48.3
35.0,69.0,70.0,1463.0,219.45
36.0,71.0,72.0,1829.0,274.35
37.0,73.0,74.0,781.0,117.15
38.0,75.0,76.0,1186.0,177.9
39.0,77.0,78.0,543.0,81.45
40.0,79.0,80.0,2623.0,393.45
41.0,81.0,82.0,241.0,36.15
42.0,83.0,84.0,244.0,36.6
43.0,85.0,86.0,1290.0,193.5
44.0,87.0,88.0,688.0,103.2
45.0,89.0,90.0,337.0,50.55
