L = {<1> <2> <3> <4> };
K = { <1> <2> <3> <4> <5> <6> <7> <8> <9> <10> <11> <12> <13> <14> <15> <16> <17> <18> <19> <20> <21> <22> <23> <24> <25> <26> <27> <28> <29> <30>};
KN = { <11> <12> <13> <14> <15> <16> <17> <18> <19> <20> <21> <22> <23> <24> <25> <26> <27> <28> <29> <30>};
KE = { <1> <2> <3> <4> <5> <6> <7> <8> <9> <10>};
PC = { <1 314> <2 388> <3 422> <4 783> <5 1146> <6 177> <7 1130> <8 213> <9 766> <10 600> <11 291> <12 696> <13 240> <14 297> <15 157> <16 369> <17 159> <18 328> <19 294> <20 536> <21 142> <22 568> <23 889> <24 189> <25 201> <26 464> <27 355> <28 331> <29 620> <30 202>};
TM = { <1 1500> <2 1500> <3 1500> <4 1500>};
TTR = { <0 0 0> <0 1 63> <0 2 85> <0 3 85>
 <0 4 212> <0 5 85> <0 6 109> <0 7 212> <0 8 63>
 <0 9 109> <0 10 212> <0 11 0> <0 12 65> <0 13 212>
 <0 14 109> <0 15 63> <0 16 85> <0 17 63> <0 18 212>
 <0 19 109> <0 20 63> <0 21 0> <0 22 109> <0 23 212>
 <0 24 109> <0 25 85> <0 26 63> <0 27 65> <0 28 63>
 <0 29 65> <0 30 0> <0 31 212> <0 32 85> <0 33 85>
 <0 34 0> <0 35 109> <0 36 65> <0 37 63> <0 38 65>
 <0 39 212> <0 40 65> <0 41 0> <0 42 63> <0 43 212>
 <0 44 0> <0 45 63> <0 46 212> <0 47 63> <0 48 0>
 <0 49 65> <0 50 85> <0 51 63> <0 52 109> <0 53 65>
 <0 54 109> <0 55 109> <0 56 0> <0 57 65> <0 58 212>
 <0 59 85> <0 60 65> <0 61 0> <1 0 62> <1 1 0>
 <1 2 114> <1 3 114> <1 4 247> <1 5 114> <1 6 164>
 <1 7 247> <1 8 0> <1 9 164> <1 10 247> <1 11 62>
 <1 12 121> <1 13 247> <1 14 164> <1 15 0> <1 16 114>
 <1 17 0> <1 18 247> <1 19 164> <1 20 0> <1 21 62>
 <1 22 164> <1 23 247> <1 24 164> <1 25 114> <1 26 0>
 <1 27 121> <1 28 0> <1 29 121> <1 30 62> <1 31 247>
 <1 32 114> <1 33 114> <1 34 62> <1 35 164> <1 36 121>
 <1 37 0> <1 38 121> <1 39 247> <1 40 121> <1 41 62>
 <1 42 0> <1 43 247> <1 44 62> <1 45 0> <1 46 247>
 <1 47 0> <1 48 62> <1 49 121> <1 50 114> <1 51 0>
 <1 52 164> <1 53 121> <1 54 164> <1 55 164> <1 56 62>
 <1 57 121> <1 58 247> <1 59 114> <1 60 121> <1 61 62>
 <2 0 81> <2 1 111> <2 2 0> <2 3 0> <2 4 142>
 <2 5 0> <2 6 177> <2 7 142> <2 8 111> <2 9 177>
 <2 10 142> <2 11 81> <2 12 106> <2 13 142> <2 14 177>
 <2 15 111> <2 16 0> <2 17 111> <2 18 142> <2 19 177>
 <2 20 111> <2 21 81> <2 22 177> <2 23 142> <2 24 177>
 <2 25 0> <2 26 111> <2 27 106> <2 28 111> <2 29 106>
 <2 30 81> <2 31 142> <2 32 0> <2 33 0> <2 34 81>
 <2 35 177> <2 36 106> <2 37 111> <2 38 106> <2 39 142>
 <2 40 106> <2 41 81> <2 42 111> <2 43 142> <2 44 81>
 <2 45 111> <2 46 142> <2 47 111> <2 48 81> <2 49 106>
 <2 50 0> <2 51 111> <2 52 177> <2 53 106> <2 54 177>
 <2 55 177> <2 56 81> <2 57 106> <2 58 142> <2 59 0>
 <2 60 106> <2 61 81> <3 0 81> <3 1 111> <3 2 0>
 <3 3 0> <3 4 142> <3 5 0> <3 6 177> <3 7 142>
 <3 8 111> <3 9 177> <3 10 142> <3 11 81> <3 12 106>
 <3 13 142> <3 14 177> <3 15 111> <3 16 0> <3 17 111>
 <3 18 142> <3 19 177> <3 20 111> <3 21 81> <3 22 177>
 <3 23 142> <3 24 177> <3 25 0> <3 26 111> <3 27 106>
 <3 28 111> <3 29 106> <3 30 81> <3 31 142> <3 32 0>
 <3 33 0> <3 34 81> <3 35 177> <3 36 106> <3 37 111>
 <3 38 106> <3 39 142> <3 40 106> <3 41 81> <3 42 111>
 <3 43 142> <3 44 81> <3 45 111> <3 46 142> <3 47 111>
 <3 48 81> <3 49 106> <3 50 0> <3 51 111> <3 52 177>
 <3 53 106> <3 54 177> <3 55 177> <3 56 81> <3 57 106>
 <3 58 142> <3 59 0> <3 60 106> <3 61 81> <4 0 213>
 <4 1 243> <4 2 144> <4 3 144> <4 4 0> <4 5 144>
 <4 6 309> <4 7 0> <4 8 243> <4 9 309> <4 10 0>
 <4 11 213> <4 12 231> <4 13 0> <4 14 309> <4 15 243>
 <4 16 144> <4 17 243> <4 18 0> <4 19 309> <4 20 243>
 <4 21 213> <4 22 309> <4 23 0> <4 24 309> <4 25 144>
 <4 26 243> <4 27 231> <4 28 243> <4 29 231> <4 30 213>
 <4 31 0> <4 32 144> <4 33 144> <4 34 213> <4 35 309>
 <4 36 231> <4 37 243> <4 38 231> <4 39 0> <4 40 231>
 <4 41 213> <4 42 243> <4 43 0> <4 44 213> <4 45 243>
 <4 46 0> <4 47 243> <4 48 213> <4 49 231> <4 50 144>
 <4 51 243> <4 52 309> <4 53 231> <4 54 309> <4 55 309>
 <4 56 213> <4 57 231> <4 58 0> <4 59 144> <4 60 231>
 <4 61 213> <5 0 81> <5 1 111> <5 2 0> <5 3 0>
 <5 4 142> <5 5 0> <5 6 177> <5 7 142> <5 8 111>
 <5 9 177> <5 10 142> <5 11 81> <5 12 106> <5 13 142>
 <5 14 177> <5 15 111> <5 16 0> <5 17 111> <5 18 142>
 <5 19 177> <5 20 111> <5 21 81> <5 22 177> <5 23 142>
 <5 24 177> <5 25 0> <5 26 111> <5 27 106> <5 28 111>
 <5 29 106> <5 30 81> <5 31 142> <5 32 0> <5 33 0>
 <5 34 81> <5 35 177> <5 36 106> <5 37 111> <5 38 106>
 <5 39 142> <5 40 106> <5 41 81> <5 42 111> <5 43 142>
 <5 44 81> <5 45 111> <5 46 142> <5 47 111> <5 48 81>
 <5 49 106> <5 50 0> <5 51 111> <5 52 177> <5 53 106>
 <5 54 177> <5 55 177> <5 56 81> <5 57 106> <5 58 142>
 <5 59 0> <5 60 106> <5 61 81> <6 0 111> <6 1 165>
 <6 2 183> <6 3 183> <6 4 310> <6 5 183> <6 6 0>
 <6 7 310> <6 8 165> <6 9 0> <6 10 310> <6 11 111>
 <6 12 92> <6 13 310> <6 14 0> <6 15 165> <6 16 183>
 <6 17 165> <6 18 310> <6 19 0> <6 20 165> <6 21 111>
 <6 22 0> <6 23 310> <6 24 0> <6 25 183> <6 26 165>
 <6 27 92> <6 28 165> <6 29 92> <6 30 111> <6 31 310>
 <6 32 183> <6 33 183> <6 34 111> <6 35 0> <6 36 92>
