0,447,393,109,218,63,85,218,426,65,0,265,0,63,265,212,218,426,218,393,85,63,65,276,265,212,65,218,212,85,109,65,265,393,276,276,85,109,63,393,212,426,276,265,426,265,393,393,426,65,218,212,0,85,265,276,109,109,276,393,447,212,265,212,393,276,63,212,85,447,65,447,109,212,63,109,393,218,276,265,447,109,0,109,65,0,393,0,265,85,63,0
446,0,63,543,324,473,374,324,182,464,446,699,446,473,699,311,324,182,324,63,374,473,464,186,699,311,464,324,311,374,543,464,699,63,186,186,374,543,473,63,311,182,186,699,182,699,63,63,182,464,324,311,446,374,699,186,543,543,186,63,0,311,699,311,63,186,473,311,374,0,464,0,543,311,473,543,63,324,186,699,0,543,446,543,464,446,63,446,699,374,473,446
392,61,0,488,269,419,319,269,231,410,392,644,392,419,644,257,269,231,269,0,319,419,410,131,644,257,410,269,257,319,488,410,644,0,131,131,319,488,419,0,257,231,131,644,231,644,0,0,231,410,269,257,392,319,644,131,488,488,131,0,61,257,644,257,0,131,419,257,319,61,410,61,488,257,419,488,0,269,131,644,61,488,392,488,410,392,0,392,644,319,419,392
111,545,491,0,307,165,183,307,524,92,111,165,111,165,165,310,307,524,307,491,183,165,92,374,165,310,92,307,310,183,0,92,165,491,374,374,183,0,165,491,310,524,374,165,524,165,491,491,524,92,307,310,111,183,165,374,0,0,374,491,545,310,165,310,491,374,165,310,183,545,92,545,0,310,165,0,491,307,374,165,545,0,111,0,92,111,491,111,165,183,165,111
216,324,270,304,0,252,153,0,303,223,216,460,216,252,460,19,0,303,0,270,153,252,223,154,460,19,223,0,19,153,304,223,460,270,154,154,153,304,252,270,19,303,154,460,303,460,270,270,303,223,0,19,216,153,460,154,304,304,154,270,324,19,460,19,270,154,252,19,153,324,223,324,304,19,252,304,270,0,154,460,324,304,216,304,223,216,270,216,460,153,252,216
62,479,425,164,259,0,114,259,458,121,62,320,62,0,320,247,259,458,259,425,114,0,121,308,320,247,121,259,247,114,164,121,320,425,308,308,114,164,0,425,247,458,308,320,458,320,425,425,458,121,259,247,62,114,320,308,164,164,308,425,479,247,320,247,425,308,0,247,114,479,121,479,164,247,0,164,425,259,308,320,479,164,62,164,121,62,425,62,320,114,0,62
81,373,320,177,153,111,0,153,352,106,81,334,81,111,334,142,153,352,153,320,0,111,106,203,334,142,106,153,142,0,177,106,334,320,203,203,0,177,111,320,142,352,203,334,352,334,320,320,352,106,153,142,81,0,334,203,177,177,203,320,373,142,334,142,320,203,111,142,0,373,106,373,177,142,111,177,320,153,203,334,373,177,81,177,106,81,320,81,334,0,111,81
216,324,270,304,0,252,153,0,303,223,216,460,216,252,460,19,0,303,0,270,153,252,223,154,460,19,223,0,19,153,304,223,460,270,154,154,153,304,252,270,19,303,154,460,303,460,270,270,303,223,0,19,216,153,460,154,304,304,154,270,324,19,460,19,270,154,252,19,153,324,223,324,304,19,252,304,270,0,154,460,324,304,216,304,223,216,270,216,460,153,252,216
419,182,233,515,296,446,346,296,0,437,419,671,419,446,671,284,296,0,296,233,346,446,437,218,671,284,437,296,284,346,515,437,671,233,218,218,346,515,446,233,284,0,218,671,0,671,233,233,0,437,296,284,419,346,671,218,515,515,218,233,182,284,671,284,233,218,446,284,346,182,437,182,515,284,446,515,233,296,218,671,182,515,419,515,437,419,233,419,671,346,446,419
63,464,410,88,224,118,111,224,443,0,63,244,63,118,244,229,224,443,224,410,111,118,0,294,244,229,0,224,229,111,88,0,244,410,294,294,111,88,118,410,229,443,294,244,443,244,410,410,443,0,224,229,63,111,244,294,88,88,294,410,464,229,244,229,410,294,118,229,111,464,0,464,88,229,118,88,410,224,294,244,464,88,63,88,0,63,410,63,244,111,118,63
0,447,393,109,218,63,85,218,426,65,0,265,0,63,265,212,218,426,218,393,85,63,65,276,265,212,65,218,212,85,109,65,265,393,276,276,85,109,63,393,212,426,276,265,426,265,393,393,426,65,218,212,0,85,265,276,109,109,276,393,447,212,265,212,393,276,63,212,85,447,65,447,109,212,63,109,393,218,276,265,447,109,0,109,65,0,393,0,265,85,63,0
267,700,647,165,464,321,339,464,679,248,267,0,267,321,0,465,464,679,464,647,339,321,248,530,0,465,248,464,465,339,165,248,0,647,530,530,339,165,321,647,465,679,530,0,679,0,647,647,679,248,464,465,267,339,0,530,165,165,530,647,700,465,0,465,647,530,321,465,339,700,248,700,165,465,321,165,647,464,530,0,700,165,267,165,248,267,647,267,0,339,321,267
0,447,393,109,218,63,85,218,426,65,0,265,0,63,265,212,218,426,218,393,85,63,65,276,265,212,65,218,212,85,109,65,265,393,276,276,85,109,63,393,212,426,276,265,426,265,393,393,426,65,218,212,0,85,265,276,109,109,276,393,447,212,265,212,393,276,63,212,85,447,65,447,109,212,63,109,393,218,276,265,447,109,0,109,65,0,393,0,265,85,63,0
62,479,425,164,259,0,114,259,458,121,62,320,62,0,320,247,259,458,259,425,114,0,121,308,320,247,121,259,247,114,164,121,320,425,308,308,114,164,0,425,247,458,308,320,458,320,425,425,458,121,259,247,62,114,320,308,164,164,308,425,479,247,320,247,425,308,0,247,114,479,121,479,164,247,0,164,425,259,308,320,479,164,62,164,121,62,425,62,320,114,0,62
267,700,647,165,464,321,339,464,679,248,267,0,267,321,0,465,464,679,464,647,339,321,248,530,0,465,248,464,465,339,165,248,0,647,530,530,339,165,321,647,465,679,530,0,679,0,647,647,679,248,464,465,267,339,0,530,165,165,530,647,700,465,0,465,647,530,321,465,339,700,248,700,165,465,321,165,647,464,530,0,700,165,267,165,248,267,647,267,0,339,321,267
213,310,257,309,19,243,144,19,289,231,213,465,213,243,465,0,19,289,19,257,144,243,231,140,465,0,231,19,0,144,309,231,465,257,140,140,144,309,243,257,0,289,140,465,289,465,257,257,289,231,19,0,213,144,465,140,309,309,140,257,310,0,465,0,257,140,243,0,144,310,231,310,309,0,243,309,257,19,140,465,310,309,213,309,231,213,257,213,465,144,243,213
216,324,270,304,0,252,153,0,303,223,216,460,216,252,460,19,0,303,0,270,153,252,223,154,460,19,223,0,19,153,304,223,460,270,154,154,153,304,252,270,19,303,154,460,303,460,270,270,303,223,0,19,216,153,460,154,304,304,154,270,324,19,460,19,270,154,252,19,153,324,223,324,304,19,252,304,270,0,154,460,324,304,216,304,223,216,270,216,460,153,252,216
419,182,233,515,296,446,346,296,0,437,419,671,419,446,671,284,296,0,296,233,346,446,437,218,671,284,437,296,284,346,515,437,671,233,218,218,346,515,446,233,284,0,218,671,0,671,233,233,0,437,296,284,419,346,671,218,515,515,218,233,182,284,671,284,233,218,446,284,346,182,437,182,515,284,446,515,233,296,218,671,182,515,419,515,437,419,233,419,671,346,446,419
216,324,270,304,0,252,153,0,303,223,216,460,216,252,460,19,0,303,0,270,153,252,223,154,460,19,223,0,19,153,304,223,460,270,154,154,153,304,252,270,19,303,154,460,303,460,270,270,303,223,0,19,216,153,460,154,304,304,154,270,324,19,460,19,270,154,252,19,153,324,223,324,304,19,252,304,270,0,154,460,324,304,216,304,223,216,270,216,460,153,252,216
392,61,0,488,269,419,319,269,231,410,392,644,392,419,644,257,269,231,269,0,319,419,410,131,644,257,410,269,257,319,488,410,644,0,131,131,319,488,419,0,257,231,131,644,231,644,0,0,231,410,269,257,392,319,644,131,488,488,131,0,61,257,644,257,0,131,419,257,319,61,410,61,488,257,419,488,0,269,131,644,61,488,392,488,410,392,0,392,644,319,419,392
81,373,320,177,153,111,0,153,352,106,81,334,81,111,334,142,153,352,153,320,0,111,106,203,334,142,106,153,142,0,177,106,334,320,203,203,0,177,111,320,142,352,203,334,352,334,320,320,352,106,153,142,81,0,334,203,177,177,203,320,373,142,334,142,320,203,111,142,0,373,106,373,177,142,111,177,320,153,203,334,373,177,81,177,106,81,320,81,334,0,111,81
