1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.78,0.1,0.03,0.23,0.17,0.21,0.4,0.98,0.82,0.03,0.6,0.69,0.26,0.78,0.63,0.51,0.89,0.41,0.82,0.2
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,0.23,0.97,0.9,0.18,0.89,0.88,0.73,0.4,0.49,0.96,0.69,0.24,0.57,0.03,0.97,0.3,0.53,0.14,0.54
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03,0.97,0.95,0.58,0.04,0.16,0.18,0.19,0.46,0.19,0.41,0.38,0.2,0.73,0.35,0.06,0.82,0.27,0.68,0.46
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.23,0.9,0.58,0.49,0.38,0.12,0.49,0.96,0.49,0.63,0.85,0.4,0.42,0.68,0.42,0.73,0.59,0.93,0.47,0.77
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.17,0.18,0.04,0.38,0.18,0.65,0.67,0.71,0.4,0.6,0.21,0.89,0.99,0.24,0.32,0.31,0.99,0.69,0.24,0.37
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.21,0.89,0.16,0.12,0.65,0.31,0.22,0.01,0.16,0.93,0.16,0.6,0.1,0.67,0.77,0.54,0.13,0.14,1.0,0.09
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.88,0.18,0.49,0.67,0.22,0.88,0.67,0.45,0.76,0.85,0.78,0.94,0.62,0.91,0.76,0.69,0.88,0.86,0.59
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,0.73,0.19,0.96,0.71,0.01,0.67,0.35,0.51,0.15,0.16,0.54,0.9,0.57,0.81,0.48,0.98,0.58,0.47,0.05
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.82,0.4,0.46,0.49,0.4,0.16,0.45,0.51,0.66,0.9,0.02,0.31,0.88,0.02,0.52,0.9,0.7,0.06,0.16,0.87
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03,0.49,0.19,0.63,0.6,0.93,0.76,0.15,0.9,0.54,0.43,0.65,0.3,1.0,0.33,0.4,0.34,0.84,0.61,0.75
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.96,0.41,0.85,0.21,0.16,0.85,0.16,0.02,0.43,0.49,0.77,0.9,0.53,0.79,0.9,0.16,0.09,0.51,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.69,0.69,0.38,0.4,0.89,0.6,0.78,0.54,0.31,0.65,0.77,0.62,0.67,0.82,0.2,0.69,0.6,0.8,0.58,0.75
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.26,0.24,0.2,0.42,0.99,0.1,0.94,0.9,0.88,0.3,0.9,0.67,0.88,0.75,0.3,0.71,0.97,0.56,0.73,0.92
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.78,0.57,0.73,0.68,0.24,0.67,0.62,0.57,0.02,1.0,0.53,0.82,0.75,0.21,0.97,0.4,0.02,0.59,0.56,0.39
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.63,0.03,0.35,0.42,0.32,0.77,0.91,0.81,0.52,0.33,0.79,0.2,0.3,0.97,0.34,0.96,0.69,0.43,0.87,0.7
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.51,0.97,0.06,0.73,0.31,0.54,0.76,0.48,0.9,0.4,0.9,0.69,0.71,0.4,0.96,0.94,1.0,0.69,0.67,0.66
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.89,0.3,0.82,0.59,0.99,0.13,0.69,0.98,0.7,0.34,0.16,0.6,0.97,0.02,0.69,1.0,0.47,0.37,0.74,0.75
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.41,0.53,0.27,0.93,0.69,0.14,0.88,0.58,0.06,0.84,0.09,0.8,0.56,0.59,0.43,0.69,0.37,0.2,0.79,0.97
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.82,0.14,0.68,0.47,0.24,1.0,0.86,0.47,0.16,0.61,0.51,0.58,0.73,0.56,0.87,0.67,0.74,0.79,0.32,0.78
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.54,0.46,0.77,0.37,0.09,0.59,0.05,0.87,0.75,1.0,0.75,0.92,0.39,0.7,0.66,0.75,0.97,0.78,0.99
